timestamp,open,high,low,close,volume
2025-09-14 16:00:00,4580.22,4628.0,4577.5,4613.96,339868.401
2025-09-14 20:00:00,4613.95,4635.0,4596.32,4602.0,283379.666
2025-09-15 00:00:00,4602.0,4641.81,4578.01,4634.46,399031.27
2025-09-15 04:00:00,4634.46,4668.0,4585.16,4594.94,717598.034
2025-09-15 08:00:00,4594.94,4594.94,4495.72,4528.25,1306452.441
2025-09-15 12:00:00,4528.25,4540.14,4463.0,4497.46,1103082.053
2025-09-15 16:00:00,4497.46,4512.32,4472.49,4491.8,443560.925
2025-09-15 20:00:00,4491.79,4528.0,4486.04,4521.54,206680.269
2025-09-16 00:00:00,4521.54,4536.31,4502.4,4518.97,250669.631
2025-09-16 04:00:00,4518.97,4534.87,4485.02,4510.65,410591.222
2025-09-16 08:00:00,4510.64,4529.9,4491.0,4499.39,311152.635
2025-09-16 12:00:00,4499.4,4510.81,4421.01,4465.74,1162089.007
2025-09-16 16:00:00,4465.73,4508.77,4444.49,4488.96,684554.469
2025-09-16 20:00:00,4488.96,4523.19,4481.01,4499.41,290801.805
2025-09-17 00:00:00,4499.41,4551.49,4490.5,4495.23,479210.709
2025-09-17 04:00:00,4495.23,4554.09,4461.38,4542.33,670750.685
2025-09-17 08:00:00,4542.33,4543.98,4477.0,4489.22,536198.737
2025-09-17 12:00:00,4489.23,4512.17,4465.0,4487.65,511293.796
2025-09-17 16:00:00,4487.64,4532.16,4404.08,4515.15,2113524.487
2025-09-17 20:00:00,4515.14,4615.26,4483.92,4588.3,813528.739
2025-09-18 00:00:00,4588.31,4642.6,4577.69,4612.01,579309.002
2025-09-18 04:00:00,4612.0,4618.0,4551.75,4573.1,506078.624
2025-09-18 08:00:00,4573.11,4606.49,4566.05,4573.99,380426.804
2025-09-18 12:00:00,4573.99,4623.0,4555.17,4597.15,701875.855
2025-09-18 16:00:00,4597.14,4634.84,4578.0,4586.53,538843.162
2025-09-18 20:00:00,4586.54,4603.9,4568.4,4585.31,221860.244
2025-09-19 00:00:00,4585.32,4619.5,4539.13,4547.46,607833.019
2025-09-19 04:00:00,4547.45,4557.06,4515.65,4536.56,559003.686
2025-09-19 08:00:00,4536.55,4546.78,4505.23,4511.46,381266.813
